-0.175718	-65.2439	430.826	
-0.183402	-66.4798	424.885	
-0.174431	-65.7548	413.341	
-0.121611	-66.4093	400.62	
-0.121898	-65.7172	391.15	
-0.127901	-66.7301	381.27	
-0.168327	-65.5956	373.862	
-0.15166	-66.7302	364.52	
-0.116964	-65.4693	354.48	
-0.0595405	-66.0399	344.791	
0.0290606	-64.7175	333.834	
0.0907061	-64.8819	325.012	
0.186683	-64.0235	315.017	
0.22478	-63.7207	306.399	
0.306723	-62.7868	295.765	
0.390539	-62.3842	286.98	
0.489973	-61.3618	277.419	
0.585267	-60.8126	269.244	
0.639565	-59.6451	259.427	
0.797569	-58.9285	251.325	
0.926458	-57.78	241.571	
1.04698	-56.4622	232.487	
1.16658	-55.4637	223.697	
1.30799	-54.173	214.635	
1.46338	-52.874	205.999	
1.59823	-51.5278	197.381	
1.77088	-49.9062	188.199	
1.8001	-48.9726	182.698	
1.9452	-47.0205	174.622	
2.39714	-44.353	153.439	
2.54669	-41.3872	145.038	
2.60313	-40.4946	138.794	
2.82351	-37.3	129.315	
2.95871	-36.3089	121.209	
3.18716	-33.8292	111.794	
3.29665	-32.129	107.547	
3.81773	-30.0648	96.9664	
3.78815	-27.7027	87.5806	
3.92414	-25.9185	79.9348	
4.13999	-23.8284	72.0204	
